*FAT:	Irene dieciséis meses y cinco días .
*MOT:	la o@l (.) la a@l y la i@l (.) a_ver busca la o@l (.) donde está la o@l ?
*MOT:	ahí (.) muy bien !
*MOT:	donde estara la a@l ?
*MOT:	muy difícil ya que rueden (.) a_ver si ves otra .
*MOT:	ay (.) <cual es esa> [/] cual es esa que no sale ?
*MOT:	cual es esa [=! se rie] ?
*MOT:	dedin [: dedo] (.) a_ver (.) esta cual es ?
*MOT:	esta [/] esta [=! señalando la letra i] ?
*MOT:	la i@l (.) muy bien !
*MOT:	y esa que tienes tu en la mano (.) esa ?
*MOT:	la i@l (.) y <esta otra> [//] esta de aquí Irene (.) esta [/] (.) esta de aquí cual es ?
*MOT:	muy bien !
*MOT:	y la ultima (.) cual es esta hija [/] (.) esta mira Irene .
*MOT:	Irene esta .
*MOT:	esta [/] esta .
*MOT:	la o@l (.) muy bien !
*MOT:	bueno +...
*MOT:	hay <un reloj pero por el otro lado> [//] tic+tac por el otro lado !
*MOT:	donde ?
*MOT:	<donde está el reloj> [/] donde está el reloj (.) hija ?
*MOT:	<donde> [>] ?
*MOT:	donde [/] donde está el reloj ?
*MOT:	no: (.) donde está el reloj (.) dale la vuelta .
*MOT:	a_ver (.) <dale la vuelta al juego> [//] dale la vuelta .
*MOT:	donde está el reloj ?
*MOT:	ahí: (.) muy bien !
*MOT:	el tic_tac .
*MOT:	aúpa tu sola (.) muy bien .
*MOT:	www .
