*FAT:	Irene tiene diecisiete meses y un día .
*MOT:	arriba que te tengo que echar por detrás .
*MOT:	no lo puedes echar en la boca !
*MOT:	a_ver <dile a mama> [/] dile a mama +//.
*MOT:	ey: (.) tontita !
*MOT:	<dile a mama> [//] dime una cosa (.) dime como es el champú ?
*MOT:	guapo ?
*MOT:	y como es Irene ?
*MOT:	toma (.) dime como es Irene ?
*MOT:	ay (.) ay (.) ay !
*MOT:	la crema .
*MOT:	y <como es papá> [/] como es papá ?
*MOT:	guapo (.) y como es Pedrin ?
*MOT:	guapo (.) y como es Bea ?
*MOT:	guapa (.) y Lili ?
*MOT:	como es Lili ?
*MOT:	y como es Tita_Tina ?
*MOT:	guapa (.) claro que si (.) y como es el chu:po ?
*MOT:	guapo y como es la caja ?
*MOT:	guapa (.) y como es Reyes ?
*MOT:	guapa (.) y como es Jesus ?
*MOT:	guapo (.) todos perfectos (.) <y como es mama> [% con tono musical] ?
*MOT:	guapa [% con tono musical] (.) y como es Carlitos ?
*MOT:	y Emilio ?
*MOT:	y Esther ?
*MOT:	como es Esther ?
*MOT:	ah (.) guapa (.) Esther es guapa [% le da un beso] .
*MOT:	y como es el barco ?
*MOT:	muy bien (.) y el libro ?
*MOT:	y la muñeca ?
*MOT:	mm (.) y la cunita de Irene ?
*MOT:	ee !
*MOT:	muy bien (.) la cunita de Irene es guapa .
*MOT:	y la cama de papá y mama ?
*MOT:	guapa (.) muy bien (.) y el coche ?
*MOT:	guapo (.) y el coche de mama ?
*MOT:	mama es guapa (.) si (.) como es el coche de mama ?
*MOT:	guapo muy bien !
*MOT:	ee (.) no Irene [/] Irene (.) a la boca no eh (.) <ya sabes> [/] ya sabes que no si no mama se enfada !
*MOT:	<a la boca no> [/] (.) a la boca no !
*MOT:	es caca (.) claro que es caca .
*MOT:	bueno (.) se acabó !
*MOT:	que quieres el [/] <el xxx para quitar los moquitos> [>] ?
*MOT:	a_ver (.) no pidas (.) no (.) escucha +//.
*MOT:	<vale (.) espera Irene> [<] (.) no pidas las cosas gritando !
*MOT:	0 &=rie (.) <por_favor (.) si> [>] .
*MOT:	bueno (.) por_favor si .
*MOT:	que quieres el papu [: champú] [*] ?
*MOT:	abrelo tu .
*MOT:	abrelo tu .
*MOT:	oye (.) no me lo pidas llorando !
*MOT:	te lo abro ?
*MOT:	así [/] así muy bien (.) para no tener <los &+labi> [//] la boquina [: boca] mala .
*MOT:	así (.) ahora ponle la tapa .
*MOT:	mira como te pusiste la mano (.) ay (.) ay (.) ay (.) ay (.) ay ?
*MOT:	no (.) esa mano no (.) la otra .
*MOT:	la otra mano (.) como es la mano ?
*MOT:	guapa la mano ?
*MOT:	y la cara de Irene ?
*MOT:	ah (.) ah (.) voy a limpiarte !
*MOT:	como es la cara de Irene ?
*MOT:	ah (.) ah !
*MOT:	iaa (.) <dime como es la carita de Irene> [% con tono musical] ?
*MOT:	que quieres ?
*MOT:	0 [=! chistando] (.) <&gritan [//] gritando [/] gritando no> [>] !
*MOT:	como se pide ?
*MOT:	0 [=! negando con chasquido] .
*MOT:	bien (.) que quieres ?
*MOT:	la crema del papo ?
*MOT:	abrelo tu (.) venga .
*MOT:	dime como es la cara de Irene .
*MOT:	dime como es la cara de Irene (.) eh ?
*MOT:	como es la cara de Irene (.) cariño ?
*MOT:	y la cara de papá ?
*MOT:	la cara de <papá como es> [>] ?
*MOT:	eh ?
*MOT:	adiós papá (.) anda vamos !
*MOT:	y como es la cara de papá ?
*MOT:	<guapa también> [//] la cara de papá (.) verdad ?
*MOT:	cara guapa ?
*MOT:	ahí (.) cuidado no vayas a tirar la tapa (.) eh ?
*MOT:	<que haces> [//] <<que dijiste> [/] que dijiste> [% con tono musical] ?
*MOT:	<que dijiste> [% con tono musical] ?
*MOT:	quien es tonta ?
*MOT:	ah (.) tonto Jesus !
*MOT:	ag (.) quien es tonta ?
*MOT:	<quien es tonta> [>] ?
*MOT:	tonta no !
*MOT:	cu:ci (.) bueno (.) a_ver mete la mano y ya está (.) a_ver (.) mete la otra mano (.) Irene (.) mete el brazo .
*MOT:	pero <mete el brazo> [/] <mete el brazo> [/] <mete el brazo> [/] mete [>] [/] mete bien el brazo primero !
*MOT:	hala (.) <ya está> [/] ya está !
*MOT:	adiós papá (.) ya está !
