dir path	filename	child age	# participants	partipant type	# adults
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06f_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_03a_ornat	1;9.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10a_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_57	2;11.27	3	Mother;Father;Cousin;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_17	1;9.	3	Mother;Child;Investigator;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_07d_ornat	2;0.	3	Mother;Father;Aunt;	3
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10	1;5.27	1	Mother;	1
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_32	2;0.13	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_14d_ornat	2;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04e_ornat	1;09.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_06d_ornat	1;11.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_39	2;3.28	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_12c_ornat	2;6.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_58	3;0.24	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04f_ornat	1;09.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_10e_ornat	2;4.	2	Mother;Father;	2
/fhgfs/bootphon/scratch/lfibla/seg/SegCatSpa/corpus_database/spa_big	spa_04c_ornat	1;09.	2	Mother;Father;	2
